species,substrate,parameter,value,ref
ST,EX_gln__L_e,klach,0.5,https://doi.org/10.1002/bit.27565
ST,EX_gly_e,klach,0.5,https://doi.org/10.1002/bit.27565
ST,EX_cys__L_e,klach,0.45,https://doi.org/10.1002/bit.27565
ST,EX_his__L_e,klach,0.4,https://doi.org/10.1002/bit.27565
ST,EX_ile__L_e,klach,0.211,https://doi.org/10.1002/bit.27565
ST,EX_leu__L_e,klach,0.534,https://doi.org/10.1002/bit.27565
ST,EX_lys__L_e,klach,0.428,https://doi.org/10.1002/bit.27565
ST,EX_met__L_e,klach,0.3,default
ST,EX_phe__L_e,klach,0.229,https://doi.org/10.1002/bit.27565
ST,EX_pro__L_e,klach,0.4,https://doi.org/10.1002/bit.27565
ST,EX_ser__L_e,klach,0.21,https://doi.org/10.1002/bit.27565
ST,EX_thr__L_e,klach,0.25,https://doi.org/10.1002/bit.27565
ST,EX_trp__L_e,klach,0.358,https://doi.org/10.1002/bit.27565
ST,EX_tyr__L_e,klach,0.05,default
ST,EX_val__L_e,klach,0.1,https://doi.org/10.1002/bit.27565
