Met,0,SD,60,SD.1,105,SD.2,120,SD.3,180,SD.4,240,SD.5,300,SD.6
ac,0.26765115247911636,0.049508824094294385,0.6902782026020586,0.12215970389550034,1.3674678655010275,0.21700419449759684,0.8746558923325342,0.12898850721885127,4.703148599976762,0.6667567689327384,9.005863760631474,1.1904880460375153,13.617202893705407,3.4864834745330686
acald,0.8496759325678236,0.0,11.001803300421134,8.267941749582771,15.625952271559246,5.458570398632905,24.85823298350879,0.0,1.9040164748654789,0.0,0.03355991116066808,0.0,5.766202917605697,0.0
actn__R,0.0,0.0,0.0,0.0,0.3395398587505471,0.004449230646300692,0.4221684278961314,0.015254505073030942,0.78141202236601,0.1510196002230063,1.2654883166835253,0.297589969799712,2.4976709639576,0.8879393161260093
